0.44238,0.52488,0.55497,0.61878,0.52446
0.42864,0.40923,0.67381,0.62625,0.55044
0.56323,0.64377,0.64382,0.71959,0.70542
0.52918,0.46584,0.51277,0.44845,0.71195
0.57123,0.60793,0.48242,0.615,0.50427
0.47389,0.41529,0.65102,0.6909,0.49527
0.39644,0.405,0.64068,0.61309,0.60621
0.44158,0.60804,0.53071,0.75868,0.66318
0.25848,0.41172,0.56966,0.6661,0.73551
0.2675,0.37709,0.55655,0.608,0.48552
0.26372,0.48297,0.57997,0.60785,0.68436
0.2942,0.33893,0.74241,0.61874,0.62507
0.25681,0.44293,0.38323,0.78032,0.63564
0.33627,0.44152,0.59736,0.61348,0.71409
0.30123,0.33733,0.59385,0.58941,0.72246
0.4293,0.27798,0.49168,0.79652,0.77225
0.34391,0.33011,0.63557,0.52169,0.66061
0.34506,0.28145,0.47784,0.68635,0.74709
0.3165,0.2683,0.49827,0.53941,0.6563
0.30145,0.26893,0.42228,0.5938,0.57055
